date,YEAR,DOY,RH2M,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,WS10M,WS10M_raw,T2M_raw,RH2M_raw,T2M_MIN_raw,T2M_MAX_raw,PRECTOTCORR_raw,warmup_mask,RH_high_flag,RH_persist_7d,Rain_sum_7d,Rain_sum_14d,Monsoon_ind,T2M_MIN_lag_15d,RH2M_latent_window,T2M_latent_window,variety_susceptibility,is_ratoon,crop_age_days
2023-01-01,2023,1,0.0,0.0,0.0,0.0,0.0,0.0,4.2223869039157975,28.496714153011236,61.72880276767146,24.496714153011236,32.49671415301123,0.0,1,0.0,0.0,0.0,0.0,0,,0.0,0.0,2,0,306
2023-01-02,2023,2,0.7071067811865478,0.0,-0.7071067811865456,-0.7071067811865475,-0.7071067811865456,-0.7071067811865477,3.587173158598929,27.861735698828817,69.23279713923881,23.861735698828817,31.861735698828817,0.0,1,0.0,0.0,0.0,0.0,0,,3.7519971857836794,-0.3174892270912082,1,0,307
2023-01-03,2023,3,-0.1370076739990454,0.0,0.7488067158300344,0.7488067158300497,0.7488067158300344,0.3407474216328299,4.074681741135595,28.64768853810069,64.70423560314721,24.64768853810069,32.647688538100695,0.0,1,0.0,0.0,0.0,0.0,0,,-0.5177095668719573,0.3123090747871089,2,0,308
2023-01-04,2023,4,-0.040191612820542455,0.0,1.3012189621106003,1.3012189621106052,1.3012189621106003,0.5648607633652312,4.18207014802733,29.523029856408023,65.05654886883454,25.523029856408023,33.52302985640803,0.0,1,0.0,0.0,0.0,0.0,0,,-0.12404722588846084,0.8907377948208293,1,0,309
2023-01-05,2023,5,0.5533202371651941,0.0,-0.9787133804157537,-0.9787133804157543,-0.9787133804157537,-0.04094275520010549,4.003589233453971,27.765846625276662,67.12464326976968,23.765846625276662,31.765846625276662,0.0,1,0.0,0.0,0.0,0.0,0,,1.5552377400373416,-0.6931563490484223,0,0,310
2023-01-06,2023,6,0.04316287374396075,0.0,-0.83254943285112,-0.8325494328511218,-0.83254943285112,-1.8066116152205656,2.956761170814458,27.76586304305082,65.69964839379051,23.76586304305082,31.76586304305082,0.0,1,0.0,0.0,0.0,0.0,0,,0.10853572004847933,-0.5776166093952178,2,0,311
2023-01-07,2023,7,0.7934603970970814,0.0,1.345976148485905,1.3459761484858914,1.345976148485905,0.4572629339908884,4.08024481198674,29.57921281550739,67.85940990173974,25.57921281550739,33.57921281550739,0.0,1,0.0,0.0,0.0,0.0,0,,1.944254766855181,1.0591998540525864,2,0,312
2023-01-08,2023,8,-0.020743421198483714,0.0,0.2950330790814154,0.29503307908140947,0.2950330790814154,1.7812378614572406,5.106265519698621,28.76743472915291,65.86137249560548,24.76743472915291,32.76743472915291,0.0,1,0.0,0.0,0.0,0.0,0,,-0.047059809369201844,0.21649404673584272,2,1,313
2023-01-09,2023,9,-1.0560636497906861,0.0,-1.1840314263387552,-1.184031426338749,-1.1840314263387552,-0.3216488035271033,3.8199803656215088,27.53052561406505,63.162687876078685,23.53052561406505,31.53052561406505,0.0,1,0.0,0.0,0.0,0.0,0,,-2.4406617145742118,-0.907035616312907,0,1,314
2023-01-10,2023,10,0.19826011809122313,0.0,0.13070241035314722,0.13070241035314703,0.13070241035314722,-0.6007665685597237,3.63596145107234,28.542560043585965,66.08451057561831,24.542560043585965,32.542560043585965,0.0,1,0.0,0.0,0.0,0.0,0,,0.4330448864688776,0.09449893188720893,1,1,315
2023-01-11,2023,11,-1.5399160846724178,0.0,-1.1213988285816314,-1.1213988285816352,-1.1213988285816314,0.37924574428832425,4.1866742798557,27.536582307187537,61.56882137803802,23.536582307187537,31.536582307187537,0.0,1,0.0,0.0,0.0,0.0,0,,-3.711494828283115,-0.8286170950101983,1,1,316
2023-01-12,2023,12,0.01809463563356814,0.0,-1.0234386092097054,-1.0234386092097045,-1.0234386092097054,0.3075216528874829,4.1561891052332856,27.53427024642974,65.32567911732957,23.53427024642974,31.53427024642974,0.0,1,0.0,0.0,0.0,0.0,0,,0.04158266842439673,-0.7616850594539954,2,0,317
2023-01-13,2023,13,-0.16082428792326914,0.0,-0.06992949363158384,-0.06992949363158378,-0.06992949363158384,1.0763180547647666,4.596367582708207,28.241962271566035,64.90031002806661,24.241962271566035,32.24196227156604,0.0,1,0.0,0.0,0.0,0.0,0,,-0.35426438846634767,-0.04983972398557057,1,0,318
2023-01-14,2023,14,-0.38327770960829016,0.0,-2.2664265532504757,-2.266426553250474,-2.2664265532504757,-1.200294311778419,3.371065922045556,26.0867197553422,64.37564942818238,22.0867197553422,30.0867197553422,0.0,1,0.0,0.0,0.0,0.0,0,,-0.8161446320398369,-2.047576365908732,2,0,319
2023-01-15,2023,15,-0.26194733947743,0.0,-1.7454672900669066,-1.7454672900669088,-1.7454672900669066,0.6685396047951373,4.365690126287496,26.275082167486968,64.61438746568321,22.275082167486968,30.275082167486968,0.0,1,0.0,0.0,0.0,0.0,0,,-0.5389128215697383,-1.7352663568463669,1,1,320
