date,year,score,RH_persist_7d,Rain_sum_7d,month
2006-06-22,2006,0.9459425,3.434,22.64,6
2006-07-23,2006,0.939463,4.231333333333332,14.36,7
2016-06-05,2016,0.9222,1.344666666666666,18.109999999999975,6
2016-06-04,2016,0.9137346,1.7,13.73999999999998,6
2011-05-30,2011,0.91312927,2.425333333333332,7.759999999999986,5
2006-07-24,2006,0.91010916,4.362666666666665,15.65,7
2016-06-06,2016,0.9086157,0.9479999999999992,26.79999999999998,6
2024-07-21,2024,0.9031975,5.548666666666667,69.68999999999994,7
2007-09-21,2007,0.8987939,3.863333333333333,15.329999999999997,9
2015-06-05,2015,0.8967625,1.862666666666668,14.669999999999982,6
2014-09-22,2014,0.89411306,3.3406666666666665,4.239999999999979,9
2024-06-02,2024,0.8925135,3.2520000000000007,10.009999999999948,6
2015-06-04,2015,0.88821256,2.1980000000000013,8.029999999999982,6
2016-06-07,2016,0.88704985,0.9579999999999986,33.84999999999998,6
2024-08-18,2024,0.88545233,3.7873333333333328,12.319999999999949,8
2016-06-22,2016,0.8846585,2.3020000000000014,74.05999999999997,6
2007-05-26,2007,0.8842885,2.5726666666666667,10.12,5
2014-09-20,2014,0.8827929,2.9493333333333336,3.199999999999979,9
2024-06-03,2024,0.8815513,3.248666666666668,12.049999999999947,6
2006-10-04,2006,0.88018274,2.6946666666666674,6.100000000000001,10
2024-06-05,2024,0.87861836,3.2473333333333336,20.05999999999995,6
2014-09-21,2014,0.8762959,3.167333333333333,3.779999999999979,9
2011-07-29,2011,0.87623423,5.668666666666669,41.44999999999998,7
2024-06-22,2024,0.8747212,2.482000000000001,47.699999999999946,6
2019-07-04,2019,0.87181926,4.536,51.25999999999997,7
2024-06-04,2024,0.86749774,3.266,13.539999999999948,6
2018-06-03,2018,0.8663323,3.132666666666666,30.239999999999988,6
2018-06-02,2018,0.8661067,3.1619999999999986,25.139999999999983,6
2006-07-22,2006,0.8653103,4.067999999999999,9.34,7
2024-08-19,2024,0.86314523,4.100666666666667,29.529999999999944,8
2011-08-19,2011,0.86258304,4.5746666666666655,13.819999999999986,8
2024-08-20,2024,0.86045414,4.622000000000001,46.11999999999995,8
2011-07-27,2011,0.8590709,5.527333333333334,31.319999999999983,7
2009-09-24,2009,0.85855645,3.0179999999999985,26.219999999999995,9
2018-07-02,2018,0.8583283,3.690666666666667,32.41999999999999,7
2016-08-05,2016,0.85689306,4.607333333333333,28.599999999999977,8
2011-08-20,2011,0.8565778,4.904,16.709999999999987,8
2016-06-03,2016,0.8554838,1.9313333333333345,11.78999999999998,6
2007-09-22,2007,0.85296875,3.827333333333333,19.209999999999997,9
2016-06-19,2016,0.8502673,2.2186666666666683,20.63999999999998,6
2023-06-16,2023,0.85017276,2.8440000000000003,36.13999999999995,6
2017-09-13,2017,0.84892875,3.69,25.48999999999998,9
2012-06-07,2012,0.84725803,2.6486666666666667,23.299999999999983,6
2009-08-12,2009,0.8471334,4.443999999999999,0.6099999999999929,8
2012-05-01,2012,0.8469597,3.4059999999999984,2.649999999999982,5
2006-07-25,2006,0.846459,4.307999999999999,15.98,7
2023-06-15,2023,0.84643185,2.309333333333333,36.63999999999996,6
2024-06-23,2024,0.8431111,3.0040000000000004,55.74999999999996,6
2014-07-09,2014,0.8424746,2.910666666666668,18.489999999999977,7
2018-06-01,2018,0.83988667,3.1733333333333325,21.94999999999999,6
2009-08-21,2009,0.8397517,4.760666666666666,37.10999999999999,8
2023-06-14,2023,0.8396971,2.059999999999999,35.509999999999955,6
2016-08-04,2016,0.83909035,4.340666666666667,30.719999999999978,8
2006-09-06,2006,0.8388563,3.943333333333333,5.04,9
2007-09-23,2007,0.8379641,3.955999999999999,24.66,9
2023-08-28,2023,0.8369482,3.550666666666666,3.4899999999999505,8
2012-06-08,2012,0.8359678,2.9339999999999997,23.16999999999998,6
2011-07-28,2011,0.8357817,5.6320000000000014,35.73999999999999,7
2023-08-30,2023,0.83561736,3.1146666666666665,3.81999999999995,8
2016-07-23,2016,0.8345858,3.298,39.68999999999998,7
2017-06-12,2017,0.83370906,3.5039999999999987,98.7,6
2016-07-24,2016,0.83275485,3.425333333333333,47.55999999999997,7
2012-06-05,2012,0.83238846,2.635333333333333,19.35999999999998,6
2014-07-10,2014,0.83166796,3.091333333333335,44.939999999999976,7
2011-07-15,2011,0.8315333,3.874,37.27999999999999,7
2007-06-23,2007,0.8309444,4.888666666666667,114.54,6
2006-09-15,2006,0.83048743,4.390000000000001,47.45,9
2016-06-09,2016,0.8303938,1.9019999999999984,48.81999999999998,6
2010-06-02,2010,0.828151,2.862,10.449999999999992,6
2016-08-03,2016,0.8272175,4.11,32.03999999999998,8
2017-06-11,2017,0.8271725,3.3059999999999983,72.26999999999998,6
2024-08-21,2024,0.8251721,5.000666666666667,58.419999999999945,8
2011-07-30,2011,0.8241195,5.802666666666668,48.329999999999984,7
2017-09-12,2017,0.820407,3.123333333333333,17.439999999999984,9
2017-08-09,2017,0.8196374,3.889333333333334,4.389999999999982,8
